         Name                O/H                upO/H               lowO/H               O2/H               upO2/H             lowO2/H                met                upmet               lowmet
------------- ------------------ -------------------- -------------------- ------------------ -------------------- ------------------- ------------------ -------------------- --------------------
       CSWA20  7.043343799927754   0.5395643608523129   0.3482934955664989  7.993087140450721  0.38585646613007807 0.22859044276899265  8.040682520975487  0.39697653796206644  0.23557209302221516
Abell_860_359  7.284560681627126  0.13924754358526137   0.0885290276289803  8.010842526659742  0.12840348125813783 0.09320354641147954  8.085681423249918  0.13050271199635688  0.09215803488842234
   Abell_22.3  7.178239202892905  0.37528730353180073  0.12340649913607482 7.3646762332996865  0.17029780882524115 0.09775863287593989  7.601290243744051  0.08699061457671053  0.06134848697064754
        RCSGA 7.7435002554948245 0.026906152120603544 0.030069099493719165  7.984799836832594    0.024698160310618 0.02721933096370499  8.181767377547924  0.02536058594261803 0.028281145200386604
   A1689_31.1  6.732235174176695  0.12988796340236153  0.02773594517787359  7.405581375671155   0.1798233564226388 0.16131802759135372  7.484996408196459   0.1611965102851709  0.09844233415433656
   SMACS_0304  7.863170224711867  0.23847198511424317  0.12493062309854963  8.022871241395684  0.07992502025002146 0.07342865154295097  8.262346436041934  0.12616486101441282  0.09007753567758314
    MACS_0451   6.70380474958124  0.06680634298679333  0.05150625337623893  7.341994023927003  0.13863939862751362 0.10697540622804613  7.429876189998506  0.12282987044621585  0.08579419329285187
 COSMOS_12805  7.670150964950439   0.1815821364323016   0.1710534329769251   8.03420090827079   0.1747718659684523 0.20092365645863097   8.19136144961457  0.18059475182314344  0.19415915746877221
        BX660  6.913884288436021  0.09543241668379032  0.09435211791620368  7.827570987555397  0.10942323002689225 0.15482413206671453 7.8745931424272175  0.10896705502730608  0.14151505696136724
         BX74 7.1308004474403255   0.1779096365041113  0.18406598965174226  8.000038505761387  0.16961377067951844 0.28440163850875866  8.055324514807847  0.16995457728687668   0.2734866646690035
        BX418  6.996214300530296  0.14397770912313845  0.13381366280605977  7.870015699855408   0.1650025105351567 0.18297887634781418  7.923147013754745   0.1635048206243912   0.1734645047062413
    S16-stack   7.73597756428695   0.0644618331099478   0.0669699413442082 7.9393281944644585  0.06346211029041982 0.06757429658728498  8.151872115979067   0.0642286365755389  0.06916803431417584
  COSMOS-1908   6.81765309203369  0.13843467617195326  0.11622720819045451 7.9226246588908475  0.14347239761213348  0.1206916217656282  7.956369230958211  0.14013701561943215  0.12057727717188094
 the_Lynx_arc  6.817838413791251   0.3270741195109377  0.23086934322695374  7.786070264748169  0.03443324541464943 0.02821428862434594  7.834023731904685  0.06114402040972866  0.03861332527166539
   SMACS_2031  6.829314610013187  0.04613152752637184 0.049696334966830236  7.617040366402469 0.024156937366868192 0.02471452394414264  7.681321732007891 0.025002849593052545  0.02483797832247081
    SGAS_1050  7.416584774936791  0.05580398687175414  0.05600943412982673   8.36505897535703  0.03643163099038915 0.03422482913262037  8.411224859928774  0.03895261049505905  0.03343654225490056
