         Name                 Te               upTe              lowTe                Den              upDen             lowDen                 EBV                upEBV              lowEBV
------------- ------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ------------------- -------------------- -------------------
 the_Lynx_arc  17369.17387587915 17760.056360844323  17023.51844063861 16014.686094766988  43560.82369041119 5040.7550792170605                 0.0                  0.0                 0.0
        BX660 16244.475258347762 19690.770045728874  15168.08334922235              100.0              100.0              100.0                 0.0  0.17467398849407262                 0.0
 COSMOS_12805 12592.360335501537 16377.683420043846  11840.78252101039              100.0              100.0              100.0                 0.0   0.2724033667034438                 0.0
  COSMOS-1908 14633.281911687242 16390.905097317296 12977.663916795327  714.0796487675946 1478.9505990778475  277.7951313196218 0.09158415054219551   0.3829162423672027                 0.0
    S16-stack 12861.726619479872 13294.733662903041 12408.242691957383  496.5580077473275   651.043010345168  354.2794947522294 0.21324389418526762  0.23254457784914348 0.19560765193947724
   SMACS_0304 12493.156728025335 13085.249018406786 12006.565587533501 1292.9052230198574  5231.331347689889 279.16833761683085 0.20798736876763335   0.2355908197667279 0.20069147143475222
        BX418 14667.463059328693 18094.667915673603 13455.242776681416              100.0              100.0              100.0                 0.0  0.19045496062006928                 0.0
   A1689_31.1  20498.51381026139 25193.796936372168  16915.10469270762 234.20321323454274  442.0332293766384   95.1912234049912 0.29310244509473643   0.5928739319860812                 0.0
   SMACS_2031  16684.74172517859 17072.473415180702 16338.038916529302  525.1014624963902  834.0932229984719 255.41739740636524                 0.0                  0.0                 0.0
        RCSGA 11870.195461334244 12147.439003680662 11667.428623537231              100.0              100.0              100.0 0.23566211382877456    0.349067852968913 0.16149020622479288
   Abell_22.3  25640.10261233597 29920.453983854226  20909.92460315577              100.0              100.0              100.0  0.2763145527901746   0.5408470634889887                 0.0
Abell_860_359  13160.61641236117  14166.45538243019  12004.31404121553              100.0              100.0              100.0 0.04118808581738632  0.07069418059944693 0.01087460112096085
         BX74 14231.813380282187  20910.53273749837    12741.152887743              100.0              100.0              100.0 0.09775040377048416   0.3589348398707347                 0.0
    SGAS_1050 10735.164018481328 10995.158458562295 10439.282798688015  615.3557250010984  1212.767591819066 268.81255661960097                 0.0                  0.0                 0.0
    MACS_0451 21725.838496940665 24339.727746923538 19196.523688880694              100.0              100.0              100.0                 0.0 0.030970315592078353                 0.0
       CSWA20 11895.787841714407 14583.990951434494  9435.933638936021  386.7193981683848  528.2832807174008  282.4496220851239  0.1285622808797326  0.21345149140053368 0.05149250904270285
