         Name           O/H           upO/H          lowO/H          O2/H          upO2/H         lowO2/H           met           upmet          lowmet
------------- ------------- --------------- --------------- ------------- --------------- --------------- ------------- --------------- ---------------
       CSWA20 6.98392650705  0.512913355086  0.236914359111 8.08129528564  0.381074745965  0.218940031979 8.11564700257  0.391058454897  0.218767439993
    USD-12539 8.92956775148   2.96087558768   1.17497009379           nan             nan             nan           nan             nan             nan
Abell_860_359 7.29668030034  0.112160492415 0.0904140964741 8.02089731701 0.0983580399278 0.0875359465493 8.09675060485 0.0999000697647 0.0887632626548
   Abell_22.3 7.17667782275  0.351196438864  0.233491324582 7.40380041067  0.142072685579  0.115569992204 7.59667736902  0.118771916938 0.0632561186175
        RCSGA  7.7424536272 0.0920757725273 0.0794853277945 7.99187813013 0.0459963373139 0.0437563678991 8.18956024228 0.0511261116555 0.0502298940053
   A1689_31.1 6.74896371787  0.150023114038  0.160020228296  7.4075843197  0.231238638885  0.144932191498 7.48716256892  0.207637916011 0.0877520706955
   SMACS_0304 7.89773722421  0.202074165397 0.0967089549656 8.06564114983 0.0615658917569 0.0454302458245 8.29439813514   0.12186630501 0.0618385419088
    MACS_0451 6.68221484696  0.101066000328 0.0703052980167  7.4660594234  0.136385319152  0.167762598351 7.52791257727  0.132621027913  0.137188120077
 COSMOS_12805 7.73021235073  0.355316176191  0.303690787063 8.09422981229  0.227251492669  0.314227114653 8.26150510592  0.251891395099  0.295491382772
        BX660 6.95457595658  0.195743569133  0.210773585561 7.90415187967  0.163034969922  0.200046681183 7.95756393714  0.162921646156  0.179309580624
         BX74 7.15812586132  0.290370560311  0.246618767471  7.9426388032  0.246889095606  0.258985922807 8.03274644826  0.244915748452  0.271129768569
        BX418 7.07906259668   0.31393722122  0.268904008089 7.97849516358  0.197209652439  0.210331781773 8.03387305617  0.202521348017  0.206740949807
    S16-stack 7.74978114758  0.043863246245 0.0451280306528 7.93620632475 0.0368578933535   0.03613784309 8.15397081465 0.0394155240754  0.038887786922
  COSMOS-1908 6.79274340224  0.192305087854  0.155556543273 7.99523713682  0.140055317471  0.123253275943  8.0258687443  0.132110701819  0.126803589287
    SGAS_1050 7.54546301874  0.125411210663  0.120638029333 8.54300484087 0.0616924733642 0.0890729535251 8.58642753384 0.0640968340918 0.0921420040812
